"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"42131","AT 2019lyb","15:11:03.518","+52:02:56.72","","","CGCG 274-031","0.036876","ASAS-SN","","ASAS-SN","ASASSN-19sv","ASASSN-1 - Brutus","","1","1","","17.7","g-Sloan","2019-07-29 06:57:36","Stanek","",""
"42130","AT 2019lya","20:53:20.554","+05:43:45.17","","","","","DECam-GROWTH","","DECam-GROWTH; ZTF","DG19lbxlb","CTIO-4m - DECAM","","1","1","","20.79","r-Sloan","2019-07-29 02:51:21","ZTF_Bot1","",""
"42129","AT 2019lxz","21:08:35.787","+12:57:15.13","","","","","DECam-GROWTH","","DECam-GROWTH; ZTF","DG19lscpb","CTIO-4m - DECAM","","1","1","","21.85","r-Sloan","2019-07-29 03:34:33","ZTF_Bot1","",""
"42128","AT 2019lxy","08:50:29.620","-47:45:28.55","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dff","Gaia - Gaia-photometric","","1","1","","15.11","G-Gaia","2019-07-27 11:45:36","Gaia_Bot1","",""
"42127","AT 2019lxx","21:04:04.690","+46:31:13.69","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dfe","Gaia - Gaia-photometric","","1","1","","11.1","G-Gaia","2019-07-27 02:54:14","Gaia_Bot1","",""
"42126","AT 2019lxw","23:59:31.390","-24:03:28.01","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dfd","Gaia - Gaia-photometric","","1","1","","18.02","G-Gaia","2019-07-27 00:04:19","Gaia_Bot1","",""
"42125","AT 2019lxv","23:34:45.280","-18:06:35.32","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dfc","Gaia - Gaia-photometric","","1","1","","18.84","G-Gaia","2019-07-25 17:55:40","Gaia_Bot1","",""
"42124","AT 2019lxu","01:07:46.896","-44:10:21.91","","","","","ATLAS","","ATLAS","ATLAS19qmn","ATLAS1 - ACAM1","","1","1","","19.647","cyan-ATLAS","2019-07-29 14:11:02","ATLAS_Bot1","",""
"42123","AT 2019lxt","11:49:30.950","+25:14:32.46","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dfb","Gaia - Gaia-photometric","","1","1","","18.5","G-Gaia","2019-07-26 01:06:14","Gaia_Bot1","",""
"42122","AT 2019lxs","23:34:48.040","-18:21:14.72","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dfa","Gaia - Gaia-photometric","","1","1","","18.11","G-Gaia","2019-07-25 16:09:07","Gaia_Bot1","",""
"42121","AT 2019lxr","00:58:53.857","-17:31:07.24","","","","","ATLAS","","ATLAS","ATLAS19qml","ATLAS1 - ACAM1","","1","1","","19.62","cyan-ATLAS","2019-07-29 12:08:38","ATLAS_Bot1","",""
"42120","AT 2019lxq","22:36:17.294","-32:22:16.18","","","","","ATLAS","","ATLAS","ATLAS19qmi","ATLAS1 - ACAM1","","1","1","","18.964","cyan-ATLAS","2019-07-29 11:57:07","ATLAS_Bot1","",""
"42119","AT 2019lxp","00:17:10.813","-37:28:02.71","","","","","ATLAS","","ATLAS","ATLAS19qmh","ATLAS1 - ACAM1","","1","1","","18.642","cyan-ATLAS","2019-07-29 12:00:00","ATLAS_Bot1","",""
"42118","AT 2019lxo","00:14:21.779","-21:09:19.14","","","","","ATLAS","","ATLAS","ATLAS19qlt","ATLAS1 - ACAM1","","1","1","","19.203","cyan-ATLAS","2019-07-29 11:22:33","ATLAS_Bot1","",""
"42117","AT 2019lxn","17:04:13.379","+20:42:18.58","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwo","PS1 - GPC1","","1","1","","20.66","w-PS1","2019-07-28 08:45:36","PS1_Bot1","",""
"42116","AT 2019lxm","21:34:22.653","+21:20:30.66","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwm","PS1 - GPC1","","1","1","","20.65","w-PS1","2019-07-27 12:43:12","PS1_Bot1","",""
"42115","AT 2019lxl","17:59:03.798","+10:00:22.12","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwk","PS1 - GPC1","","1","1","","20.62","w-PS1","2019-07-26 08:55:40","PS1_Bot1","",""
"42114","AT 2019lxk","22:31:57.096","+22:22:58.49","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwl","PS1 - GPC1","","1","1","","20.86","w-PS1","2019-07-27 13:56:38","PS1_Bot1","",""
"42113","AT 2019lxj","15:19:24.557","-10:41:04.68","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwi","PS1 - GPC1","","1","1","","20.86","w-PS1","2019-07-25 06:54:43","PS1_Bot1","",""
"42112","AT 2019lxi","23:43:35.813","+35:52:51.60","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwj","PS1 - GPC1","","1","1","","20.74","i-Sloan","2019-07-25 14:19:40","PS1_Bot1","",""
"42111","AT 2019lxh","15:17:17.372","-10:18:28.38","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwg","PS1 - GPC1","","1","1","","21.52","w-PS1","2019-07-25 06:53:16","PS1_Bot1","",""
"42110","AT 2019lxg","17:04:22.080","+16:48:29.48","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwq","PS1 - GPC1","","1","1","","20.46","w-PS1","2019-07-28 08:47:02","PS1_Bot1","",""
"42109","AT 2019lxf","21:05:18.653","-33:50:56.69","","","","","ATLAS","","ATLAS","ATLAS19qls","ATLAS1 - ACAM1","","1","1","","19.672","cyan-ATLAS","2019-07-29 11:05:16","ATLAS_Bot1","",""
"42108","AT 2019lxe","20:47:57.615","-29:31:31.82","","","","","ATLAS","","ATLAS","ATLAS19qlo","ATLAS1 - ACAM1","","1","1","","18.532","cyan-ATLAS","2019-07-29 10:42:14","ATLAS_Bot1","",""
"42107","AT 2019lxd","17:31:23.648","+19:57:58.71","","","","","ATLAS","","ATLAS","ATLAS19qln","ATLAS1 - ACAM1","","1","1","","19.069","orange-ATLAS","2019-07-29 07:49:26","ATLAS_Bot1","",""
"42106","AT 2019lxc","21:15:01.030","+14:59:22.70","","","","","DECam-GROWTH","","DECam-GROWTH","DG19tneob","CTIO-4m - DECAM","","1","1","","19.34","r-Sloan","2019-07-29 03:08:21","Andreoni","",""
"42105","AT 2019lxb","23:23:36.616","-20:35:07.58","","","","","ATLAS","","ATLAS","ATLAS19qlm","ATLAS1 - ACAM1","","1","1","","18.451","cyan-ATLAS","2019-07-29 10:19:12","ATLAS_Bot1","",""
"42104","AT 2019lxa","20:48:06.310","+04:16:54.50","","","","","DECam-GROWTH","","DECam-GROWTH","DG19zqdmb","CTIO-4m - DECAM","","1","1","","21.1","r-Sloan","2019-07-29 03:56:00","Andreoni","",""
"42103","AT 2019lwz","23:40:34.344","-25:26:59.17","","","","","ATLAS","","ATLAS","ATLAS19qll","ATLAS1 - ACAM1","","1","1","","19.559","cyan-ATLAS","2019-07-29 10:45:07","ATLAS_Bot1","",""
"42102","SN 2019lwy","20:38:06.431","+06:40:59.38","SN IIP","0.133","","","None","BTDG","BTDG","","P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","19.97","r-ZTF","2019-05-31 10:07:30","Gomez","",""
"42101","AT 2019lwx","12:19:18.731","+15:46:19.55","","","","","ZTF","","ZTF","ZTF18aaajljy","P48 - ZTF-Cam","","1","1","","18.75","g-ZTF","2019-07-22 04:16:19","ZTF_Bot1","",""
"42100","AT 2019lww","16:25:52.735","-14:19:19.24","","","","","ZTF","","ZTF","ZTF19abjbjdv","P48 - ZTF-Cam","","1","1","","18.8","r-ZTF","2019-07-28 04:09:07","ZTF_Bot1","",""
"42099","AT 2019lwv","15:22:34.365","+03:39:52.83","","","","","ZTF","","ZTF","ZTF19abifdsd","P48 - ZTF-Cam","","1","1","","17.91","r-ZTF","2019-07-25 04:09:07","ZTF_Bot1","",""
"42098","AT 2019lwu","23:11:12.315","-01:00:10.80","","","","","ZTF","","ZTF","ZTF19abidbya","P48 - ZTF-Cam","","1","1","","19.4","r-ZTF","2019-07-24 10:01:55","ZTF_Bot1","",""
"42097","AT 2019lwt","21:34:32.352","-01:20:40.66","","","","","ZTF","","ZTF","ZTF18abtjakn","P48 - ZTF-Cam","","1","1","","19.75","g-ZTF","2019-06-13 11:09:36","ZTF_Bot1","",""
"42096","AT 2019lws","13:55:58.980","-26:18:50.96","","","","","ATLAS","","ATLAS","ATLAS19qhx","ATLAS1 - ACAM1","","1","1","","19.68","cyan-ATLAS","2019-07-29 06:27:21","ATLAS_Bot1","",""
"42095","AT 2019lwr","21:20:34.491","+13:22:55.67","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwf","PS1 - GPC1","","1","1","","20.09","w-PS1","2019-07-28 12:43:12","PS1_Bot1","",""
"42094","AT 2019lwq","16:15:15.674","-33:46:09.67","","","","","ATLAS","","ATLAS","ATLAS19qhw","ATLAS1 - ACAM1","","1","1","","18.876","cyan-ATLAS","2019-07-29 06:40:19","ATLAS_Bot1","",""
"42093","AT 2019lwp","18:34:25.280","+25:49:20.90","","","","","MASTER","","MASTER","MASTER OT J183425.28+254920.9","Other - Other","","1","1","","16.5","Clear-","2019-07-24 01:00:24","MASTER","",""
"42092","AT 2019lwo","18:19:18.122","+47:42:58.60","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwb","PS1 - GPC1","","1","1","","20.03","w-PS1","2019-07-27 08:49:55","PS1_Bot1","","TESS-active sector/s (14);TESS-Sector14"
"42091","AT 2019lwn","18:22:14.856","+48:06:24.55","","","","","Pan-STARRS1","","Pan-STARRS1","PS19dwc","PS1 - GPC1","","1","1","","20.56","w-PS1","2019-07-27 08:51:21","PS1_Bot1","","TESS-active sector/s (14);TESS-Sector14"
"42089","AT 2019lwm","00:09:00.412","+35:44:19.47","","","","","ATLAS","","ATLAS","ATLAS19qgu","ATLAS1 - ACAM1","","1","1","","19.402","cyan-ATLAS","2019-07-28 10:04:48","ATLAS_Bot1","",""
"42088","AT 2019lwl","15:56:14.156","+36:29:45.53","","","","","ATLAS","","ATLAS","ATLAS19qgu","ATLAS1 - ACAM1","","1","1","","19.548","cyan-ATLAS","2019-07-28 06:04:19","ATLAS_Bot1","",""
"42087","AT 2019lwk","18:06:54.760","-12:46:07.92","","","","","ATLAS","","ATLAS","ATLAS19qgu","ATLAS1 - ACAM1","","1","1","","18.274","orange-ATLAS","2019-07-28 08:08:09","ATLAS_Bot1","",""
"42086","AT 2019lwj","23:50:08.157","+36:49:30.55","","","","","ATLAS","","ATLAS","ATLAS19qgu","ATLAS1 - ACAM1","","1","1","","19.493","cyan-ATLAS","2019-07-28 10:03:21","ATLAS_Bot1","",""
"42085","AT 2019lwi","13:30:48.340","+56:41:41.60","","","","","GaiaAlerts","","GaiaAlerts","Gaia19dez","Gaia - Gaia-photometric","","1","1","","18.6","G-Gaia","2019-07-25 19:43:40","Gaia_Bot1","",""
